,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-3.729671138732543e-08,-3.411821291846134e-08,1.738886090327855e-05,-1.4918683919481673e-05,-1.3647285028816215e-05,0.003477769162164182,0.00040305919584611373,-0.0004406087405727127,0.0,0.08061183916922272,-0.08812174811454254,0.0
2,-5.969159380784217e-07,-5.45714444847876e-07,6.987732171253324e-05,-0.00011937902571707164,-0.00010907285902270201,0.007019877859509842,0.0016073368394517284,-0.001761354217183709,0.0,0.16024368955190021,-0.17602734720765673,0.0
3,-3.0219192687019166e-06,-2.7587184515549036e-06,0.00015809715206064506,-0.0004028884564738069,-0.00036734669141287596,0.010623893508202802,0.0036024566607428645,-0.0039599160222092075,0.0,0.2387802747063269,-0.26368501379744297,0.0
4,-9.549919249814668e-06,-8.702942971529195e-06,0.0002826432324535737,-0.0009548408331277033,-0.0008685527471894803,0.014284801233975623,0.006376832768378374,-0.007033630011124481,0.0,0.31609494682077505,-0.35105778398561166,0.0
5,-2.3311539547461702e-05,-2.1203415460552605e-05,0.0004440457455601233,-0.0018644322285668539,-0.001691624196333142,0.01799460885970012,0.009917554867341444,-0.010979432077309349,0.0,0.39204947297183906,-0.43810262925136195,0.0
6,-4.832788113831578e-05,-4.3867928582218664e-05,0.0006427385078433428,-0.003220545704988903,-0.0029141519046970237,0.021741970458432607,0.014210272898621082,-0.015793792365214544,0.0,0.4664941332840885,-0.5247694283296769,0.0
7,-8.950666704084725e-05,-8.107254400341042e-05,0.0008790236465363449,-0.005111601643847905,-0.004612166645166714,0.02551183242636379,0.01923908466126353,-0.021472638397505853,0.0,0.539268219244401,-0.6109997781285851,0.0
8,-0.00015263670554591942,-0.00013794479188405774,0.0011530328696012799,-0.007625370560412197,-0.006859896177839097,0.029285106648473988,0.024986430860272905,-0.028011265428808146,0.0,0.6102010205574742,-0.6967256281318734,0.0
9,-0.00024438028336071476,-0.00022034432401925503,0.0014646856249631193,-0.01084874577937103,-0.00972949918254693,0.03303837591054497,0.03143300286138881,-0.03540423220176225,0.0,0.6791133796657067,-0.781867726458946,0.0
10,-0.0003722630765396677,-0.00033484080306877574,0.0018136444994463921,-0.014867473902535826,-0.013290778970608916,0.036743637222303845,0.038557669117790246,-0.043645240197950574,0.0,0.7458198716145803,-0.8663338727787193,0.0
11,-0.000544661149659204,-0.0004886888446369709,0.0021992682665921636,-0.01976584167167194,-0.017610880923055974,0.040368089122828264,0.04633742663328708,-0.05272699448668896,0.0,0.8101316314847853,-0.9500169849689578,0.0
12,-0.0007707846036225055,-0.0006897998736747259,0.002620563054668002,-0.02562631862870208,-0.022753978649139018,0.043873969305243905,0.05474738380152354,-0.06264104443368297,0.0,0.8718598021625068,-1.0327930044298452,0.0
13,-0.0010606574310719826,-0.0009467108116958337,0.003076132170130765,-0.032529155910796664,-0.02878095486289822,0.04721844898961262,0.06376078038514288,-0.0733776029114549,0.0,0.9308195145613599,-1.1145186911245415,0.0
14,-0.0014250931470433108,-0.0012685495758000993,0.0035641251756729324,-0.04055194259792764,-0.03574908385385027,0.05035359036206397,0.07334904919092212,-0.08492534334429518,0.0,0.9868342465944898,-1.1950293954435147,0.0
15,-0.0018756657827096112,-0.0016649974427700074,0.004082186883637566,-0.049769122265010256,-0.04371172309069271,0.0532263730630053,0.08348192215043163,-0.09727117502622055,0.0,1.0397403453074114,-1.27413694094156,0.0
16,-0.0024246758634370504,-0.002146248408968188,0.004627406982706303,-0.06025147379126565,-0.0527180218593287,0.0557787951335853,0.09412758112439903,-0.11039999877803042,0.0,1.0893914494860715,-1.351627809420411,0.0
17,-0.0030851110406253856,-0.002722965756050412,0.005196271065922417,-0.07206556205853253,-0.06281265483163333,0.05794805300941737,0.10525285101268088,-0.12429444724756747,0.0,1.1356625281702977,-1.4272618844869986,0.0
18,-0.0038706011117791376,-0.0034062361097419933,0.00578461386881459,-0.08527316593811249,-0.0740355880533867,0.05966680407808101,0.11682342995893377,-0.13893461704028853,0.0,1.178453261080282,-1.5007720740572126,0.0
19,-0.0047953672468449065,-0.004207521350060526,0.006387575555077413,-0.09993069292174994,-0.08642188403301147,0.060863513983762906,0.1288041489228404,-0.15429780332569612,0.0,1.217690531701043,-1.5718651830243031,0.0
20,-0.005874165342839176,-0.005138608792619237,0.006999561901270094,-0.116088591870926,-0.100001551454269,0.06146288925413849,0.14115925096981763,-0.17035825136572974,0.0,1.253329877694402,-1.6402244249824223,0.0
21,-0.0071222235544993314,-0.006211560108893865,0.007614209228470111,-0.13379077756955132,-0.11479944361056935,0.061386393921607746,0.15385267953578893,-0.18708694310281396,0.0,1.2853558354998582,-1.7055139224344236,0.0
22,-0.008555174196423493,-0.007438659486448615,0.008224354904727922,-0.15307408293194683,-0.13083520807606644,0.06055284659691186,0.1668483647735421,-0.20445143983896746,0.0,1.3137812120507717,-1.7673854247962775,0.0
23,-0.010188980380460917,-0.008832361547119142,0.008822014194398058,-0.17396775662204406,-0.14812328850812034,0.05887909193215202,0.18011049784400104,-0.2224158032573178,0.0,1.338645402041019,-1.825487258873788,0.0
24,-0.012039857936908215,-0.01040523954223007,0.009398364156100764,-0.19649302518050574,-0.1666729779278762,0.056280737631040634,0.1936037845188002,-0.24094061567587938,0.0,1.360011932918811,-1.8794752248385285,0.0
25,-0.014124193361982278,-0.01216993433027888,0.009943735188138536,-0.22066273917974372,-0.18648852144000058,0.05267294524402838,0.20729367146252609,-0.2599831158040161,0.0,1.3779654558263652,-1.9290248007888202,0.0
