,0,1,2,3
0,-15.0,-15.0,-15.0,0.0
1,-14.999999961519372,-14.999999979201375,-14.999967378525659,0.0
2,-14.999999385657308,-14.999999667932425,-14.99986955366908,0.0
3,-14.999996906242858,-14.999998327533364,-14.999706598061005,0.0
4,-14.999990282781075,-14.999994746131582,-14.999478563137114,0.0
5,-14.999976432979324,-14.999987255778509,-14.999185461566384,0.0
6,-14.999951465095869,-14.999973749452737,-14.998827247495807,0.0
7,-14.99991071023572,-14.999951697967317,-14.998403794980769,0.0
8,-14.999848754715059,-14.999918166814373,-14.997914874952938,0.0
9,-14.999759472608767,-14.99986983297546,-14.997360131061473,0.0
10,-14.999636058585862,-14.999803001721189,-14.996739054708284,0.0
11,-14.999471061125442,-14.999713623418858,-14.99605095958389,0.0
12,-14.99925641619178,-14.999597310361944,-14.995294955996766,0.0
13,-14.99898348143155,-14.999449353630634,-14.99446992527559,0.0
14,-14.998643070939348,-14.99926473998786,-14.993574494510563,0.0
15,-14.998225490620065,-14.999038168810726,-14.99260701188649,0.0
16,-14.997720574158537,-14.998764069052884,-14.991565522846516,0.0
17,-14.997117719588552,-14.998436616229077,-14.990447747311297,0.0
18,-14.996405926435086,-14.99804974940912,-14.989251058163509,0.0
19,-14.99557383338583,-14.997597188204695,-14.987972461192363,0.0
20,-14.994609756430783,-14.997072449728822,-14.986608576676575,0.0
21,-14.99350172739246,-14.9964688655045,-14.985155622767639,0.0
22,-14.992237532753917,-14.995779598296055,-14.983609400817716,0.0
23,-14.990804752677894,-14.99499765883393,-14.981965282778472,0.0
24,-14.989190800097791,-14.994115922401317,-14.980218200778545,0.0
25,-14.987382959750327,-14.993127145248911,-14.978362638968292,0.0
26,-14.985368427010474,-14.992023980802305,-14.976392627701017,0.0
27,-14.983134346381867,-14.990798995625209,-14.974301740100254,0.0
28,-14.98066784949038,-14.989444685100542,-14.972083091042977,0.0
29,-14.977956092424911,-14.98795348879079,-14.969729338569012,0.0
30,-14.974986292267804,-14.986317805438652,-14.967232687707508,0.0
31,-14.971745762657532,-14.984530007568983,-14.964584896692426,0.0
32,-14.968221948228441,-14.98258245565334,-14.96177728552061,0.0
33,-14.964402457776309,-14.98046751179912,-14.95880074678838,0.0
34,-14.960275096004192,-14.978177552926217,-14.955645758725902,0.0
35,-14.955827893710374,-14.975704983395438,-14.952302400332858,0.0
36,-14.951049136289148,-14.973042247054426,-14.94876036850454,0.0
37,-14.94592739042537,-14.970181838668717,-14.945008997024257,0.0
38,-14.940451528875291,-14.967116314707678,-14.941037277286178,0.0
39,-14.934610753238656,-14.963838303457354,-14.936833880602544,0.0
40,-14.9283946146406,-14.960340514434872,-14.932387181940397,0.0
